"id_transacao";"data_hora";"dispositivo";"valor_solic";"valor_aut";"status";"ag_financeiro"
79;"2020-06-01 04:05:01";860;9610.92;0.0;1;3
80;"2020-06-01 20:40:32";497;8239.9;8239.9;0;3
81;"2020-06-01 15:14:42";125;5813.34;5813.34;0;7
82;"2020-06-01 11:08:56";766;5186.33;0.0;2;2
83;"2020-06-01 01:40:45";189;4258.52;4258.52;0;6
84;"2020-06-01 18:51:55";758;9858.31;0.0;2;5
85;"2020-06-01 21:35:14";190;1897.51;0.0;2;10
86;"2020-06-01 18:55:41";847;3704.68;3704.68;0;9
87;"2020-06-01 11:07:50";295;6618.63;6618.63;0;7
88;"2020-06-01 19:44:51";692;7682.88;7682.88;0;3
89;"2020-06-01 05:01:04";667;519.39;519.39;0;6
90;"2020-06-01 11:21:16";718;2725.47;0.0;2;4
91;"2020-06-01 13:56:11";365;6521.5;0.0;2;2
92;"2020-06-01 01:57:36";126;394.84;0.0;2;3
93;"2020-06-01 22:20:40";5;736.08;0.0;2;8
94;"2020-06-01 15:09:57";303;9004.79;0.0;1;6
95;"2020-06-01 09:36:27";663;2020.01;0.0;2;7
96;"2020-06-01 17:07:25";728;4834.17;0.0;1;9
97;"2020-06-01 06:19:22";219;1221.83;0.0;2;9
98;"2020-06-01 20:08:56";116;4549.25;0.0;1;2
99;"2020-06-01 12:42:58";273;6369.9;0.0;1;10
100;"2020-06-01 12:55:24";771;5434.11;0.0;1;10
101;"2020-06-01 20:45:47";330;7649.85;7649.85;0;3
102;"2020-06-01 05:10:24";878;8066.64;0.0;2;8
103;"2020-06-01 22:20:46";749;1563.44;1563.44;0;4
104;"2020-06-01 02:22:59";137;9454.61;9454.61;0;3
105;"2020-06-01 07:58:41";723;6737.62;0.0;1;6
106;"2020-06-01 02:20:43";167;7864.08;0.0;1;2
107;"2020-06-01 02:05:49";262;2008.38;2008.38;0;3
108;"2020-06-01 08:47:05";236;7351.26;0.0;2;9
109;"2020-06-01 22:01:47";972;8658.4;0.0;1;3
110;"2020-06-01 21:03:02";856;5789.13;5789.13;0;7
111;"2020-06-01 03:02:03";619;4024.81;0.0;2;4
112;"2020-06-01 12:30:51";768;4618.73;0.0;2;10
113;"2020-06-01 17:08:13";654;9570.22;9570.22;0;4
114;"2020-06-01 03:30:22";52;8030.42;0.0;1;6
115;"2020-06-01 20:31:16";653;7349.58;7349.58;0;5
116;"2020-06-01 06:34:23";877;9386.85;0.0;2;7
117;"2020-06-01 14:40:24";991;9500.16;9500.16;0;9
118;"2020-06-01 16:55:30";499;752.18;752.18;0;6
119;"2020-06-01 07:58:14";20;3793.37;3793.37;0;7
120;"2020-06-01 15:17:26";217;8924.67;0.0;1;7
121;"2020-06-01 22:40:22";349;282.47;0.0;1;4
122;"2020-06-01 04:25:19";824;1201.52;1201.52;0;4
123;"2020-06-01 00:22:12";353;8836.65;0.0;1;2
124;"2020-06-01 21:13:28";7;6068.1;0.0;1;7
125;"2020-06-01 06:14:25";730;5018.08;0.0;1;5
126;"2020-06-01 15:19:03";839;718.32;0.0;2;2
127;"2020-06-01 11:06:05";677;7931.05;0.0;2;8
128;"2020-06-01 12:54:41";932;2392.68;0.0;2;6
129;"2020-06-01 18:32:58";472;6933.0;0.0;2;2
130;"2020-06-01 21:37:59";816;6163.5;0.0;1;10
131;"2020-06-01 20:59:56";575;9567.79;0.0;1;8
132;"2020-06-01 14:27:42";574;7204.99;0.0;1;8
133;"2020-06-01 06:13:07";466;7118.9;0.0;1;10
134;"2020-06-01 12:40:41";207;8696.34;0.0;1;9
135;"2020-06-01 10:34:05";823;5261.45;0.0;1;6
136;"2020-06-01 17:25:24";496;3370.05;0.0;2;6
137;"2020-06-01 03:50:57";697;5642.02;0.0;1;2
138;"2020-06-01 22:26:59";722;7024.42;0.0;1;7
139;"2020-06-01 19:34:42";111;465.91;0.0;2;6
140;"2020-06-01 14:33:29";54;2933.46;0.0;2;3
141;"2020-06-01 01:17:19";673;6409.44;6409.44;0;10
142;"2020-06-01 04:50:01";892;4205.47;0.0;2;6
143;"2020-06-01 15:05:32";147;1332.02;1332.02;0;1
144;"2020-06-01 03:23:50";331;5055.59;5055.59;0;10
145;"2020-06-01 11:14:53";840;9615.12;0.0;1;10
146;"2020-06-01 15:31:06";226;3550.85;3550.85;0;1
147;"2020-06-01 07:31:02";924;1620.69;0.0;2;5
148;"2020-06-01 10:10:39";420;5638.78;5638.78;0;7
149;"2020-06-01 00:30:03";698;4204.58;0.0;1;1
150;"2020-06-01 13:10:11";409;9753.58;0.0;1;10
151;"2020-06-01 02:49:45";803;1746.24;0.0;2;6
152;"2020-06-01 07:44:17";215;673.78;0.0;1;6
153;"2020-06-01 00:05:27";904;7415.86;7415.86;0;5
154;"2020-06-01 11:05:47";373;1841.98;0.0;2;2
155;"2020-06-01 06:36:02";536;8887.62;0.0;1;6
156;"2020-06-01 19:32:08";675;4403.68;4403.68;0;7
157;"2020-06-01 04:59:40";28;261.35;0.0;2;5
158;"2020-06-01 02:07:44";298;4726.48;4726.48;0;5
159;"2020-06-01 00:20:15";679;6255.59;0.0;2;5
160;"2020-06-01 00:57:05";223;7163.48;7163.48;0;5
161;"2020-06-01 11:20:25";940;6808.9;6808.9;0;6
162;"2020-06-01 15:09:51";761;5960.01;0.0;2;5
163;"2020-06-01 04:40:18";89;941.83;0.0;2;7
164;"2020-06-01 20:06:36";481;6200.6;0.0;2;10
165;"2020-06-01 02:35:32";946;1302.59;0.0;1;4
166;"2020-06-01 03:15:58";246;3874.14;0.0;1;5
167;"2020-06-01 20:08:51";292;3301.38;0.0;2;7
168;"2020-06-01 00:16:10";36;5916.49;5916.49;0;7
169;"2020-06-01 21:47:06";839;532.43;532.43;0;5
170;"2020-06-01 14:01:03";89;2481.06;2481.06;0;2
171;"2020-06-01 14:11:59";469;6532.56;0.0;1;7
172;"2020-06-01 21:14:57";187;1791.72;1791.72;0;1
173;"2020-06-01 08:34:34";930;9419.06;9419.06;0;4
174;"2020-06-01 17:15:47";703;7447.8;0.0;2;9
175;"2020-06-01 08:59:37";674;3019.13;3019.13;0;2
176;"2020-06-01 23:31:41";873;4766.68;4766.68;0;8
177;"2020-06-01 16:34:20";926;5523.46;0.0;1;1
178;"2020-06-01 09:54:27";570;6052.58;6052.58;0;5
179;"2020-06-01 05:09:59";605;4087.04;4087.04;0;10
180;"2020-06-01 14:21:36";989;47.41;0.0;1;7
181;"2020-06-01 12:13:08";156;3123.66;0.0;2;2
182;"2020-06-01 12:25:14";951;2324.09;0.0;2;6
183;"2020-06-01 00:23:05";853;2103.91;0.0;2;9
184;"2020-06-01 23:55:39";304;6190.6;0.0;1;10
185;"2020-06-01 01:51:54";214;9619.18;0.0;2;2
186;"2020-06-01 18:47:55";676;6543.15;6543.15;0;10
187;"2020-06-01 18:02:24";37;8311.87;0.0;2;2
188;"2020-06-01 11:03:55";946;6894.33;6894.33;0;6
189;"2020-06-01 03:23:30";464;6330.91;0.0;2;4
190;"2020-06-01 10:54:56";639;5952.05;0.0;1;9
191;"2020-06-01 18:40:16";546;6435.04;6435.04;0;4
192;"2020-06-01 17:19:34";163;9180.72;0.0;2;5
193;"2020-06-01 20:53:05";171;2258.04;2258.04;0;1
194;"2020-06-01 01:05:25";696;870.62;0.0;2;5
195;"2020-06-01 13:13:15";886;940.71;0.0;2;8
196;"2020-06-01 17:15:41";602;7603.95;7603.95;0;4
197;"2020-06-01 12:47:38";146;3035.43;3035.43;0;4
198;"2020-06-01 13:26:31";752;7458.86;0.0;2;7
199;"2020-06-01 23:00:16";672;9858.7;0.0;1;8
200;"2020-06-01 22:07:17";806;4751.97;0.0;1;8
201;"2020-06-01 17:57:19";869;8203.9;0.0;2;3
202;"2020-06-01 08:16:49";610;5094.55;0.0;1;8
203;"2020-06-01 22:14:06";313;5276.36;0.0;2;7
204;"2020-06-01 15:33:45";937;3632.38;0.0;1;10
205;"2020-06-01 00:32:43";919;7962.59;0.0;1;5
206;"2020-06-01 07:32:41";999;2750.44;2750.44;0;9
207;"2020-06-01 14:32:18";288;26.75;0.0;1;5
208;"2020-06-01 06:19:34";936;7542.69;0.0;1;7
209;"2020-06-01 04:34:41";369;5816.62;5816.62;0;2
210;"2020-06-01 19:05:30";745;4858.83;0.0;2;2
211;"2020-06-01 08:26:30";587;6675.95;0.0;1;9
212;"2020-06-01 13:16:37";378;7722.65;0.0;2;3
213;"2020-06-01 00:12:33";432;5964.97;0.0;1;1
214;"2020-06-01 09:34:15";614;2942.65;0.0;2;7
215;"2020-06-01 08:32:23";570;4690.28;0.0;1;9
216;"2020-06-01 16:12:06";245;8470.85;0.0;1;10
217;"2020-06-01 15:35:01";196;3892.67;3892.67;0;3
218;"2020-06-01 05:11:02";707;4770.51;0.0;1;6
219;"2020-06-01 19:57:01";873;3627.49;3627.49;0;3
220;"2020-06-01 00:32:25";627;3480.19;3480.19;0;2
221;"2020-06-01 04:14:27";685;5437.93;0.0;1;6
222;"2020-06-01 09:58:45";538;7959.18;7959.18;0;3
223;"2020-06-01 11:22:14";434;4346.31;0.0;2;6
224;"2020-06-01 09:44:50";96;5906.58;0.0;2;5
225;"2020-06-01 11:42:34";781;3599.1;0.0;1;8
226;"2020-06-01 06:41:05";73;9800.69;0.0;1;5
227;"2020-06-01 23:54:45";845;6566.32;6566.32;0;1
228;"2020-06-01 06:14:29";7;8132.51;0.0;2;7
229;"2020-06-01 16:12:43";695;3527.86;0.0;1;10
230;"2020-06-01 22:33:41";990;9631.94;9631.94;0;2
231;"2020-06-01 11:16:19";415;9636.1;0.0;2;9
232;"2020-06-01 16:39:01";480;5321.76;5321.76;0;1
233;"2020-06-01 11:23:14";704;4524.32;0.0;1;5
234;"2020-06-01 10:16:08";322;4293.48;4293.48;0;8
235;"2020-06-01 02:01:05";233;4079.84;4079.84;0;3
236;"2020-06-01 19:36:25";87;9684.04;9684.04;0;1
237;"2020-06-01 00:21:58";793;3406.32;0.0;1;5
238;"2020-06-01 10:40:13";381;1140.03;0.0;2;9
239;"2020-06-01 16:59:59";415;4393.46;0.0;1;6
240;"2020-06-01 04:23:40";488;9877.81;0.0;1;1
241;"2020-06-01 02:15:06";622;6369.14;0.0;2;1
242;"2020-06-01 21:24:37";494;6668.85;0.0;1;3
243;"2020-06-01 08:25:05";419;8649.03;8649.03;0;1
244;"2020-06-01 07:31:46";313;2177.07;0.0;1;3
245;"2020-06-01 09:24:25";891;6383.86;6383.86;0;10
246;"2020-06-01 11:52:38";590;2123.04;2123.04;0;1
247;"2020-06-01 19:32:10";918;7741.52;0.0;1;8
248;"2020-06-01 23:44:06";531;6912.49;0.0;1;7
249;"2020-06-01 07:22:58";724;301.49;0.0;2;8
250;"2020-06-01 20:58:35";61;405.46;0.0;2;9
251;"2020-06-01 13:16:24";183;6575.12;0.0;2;8
252;"2020-06-01 15:31:40";371;5269.64;5269.64;0;10
253;"2020-06-01 22:02:22";92;4136.58;0.0;2;5
254;"2020-06-01 18:50:51";552;1304.85;0.0;1;7
255;"2020-06-01 10:42:16";298;1136.41;0.0;1;1
256;"2020-06-01 15:33:21";534;7786.69;0.0;2;1
257;"2020-06-01 13:17:03";584;6498.37;0.0;1;1
258;"2020-06-01 03:54:16";493;4389.36;0.0;2;7
259;"2020-06-01 23:30:11";719;9239.85;9239.85;0;9
260;"2020-06-01 03:14:57";26;6841.46;0.0;1;9
261;"2020-06-01 03:09:00";998;8819.13;0.0;2;1
262;"2020-06-01 04:12:41";169;963.66;0.0;1;2
263;"2020-06-01 00:14:47";818;8756.26;8756.26;0;7
264;"2020-06-01 14:20:58";353;1052.15;0.0;1;3
265;"2020-06-01 02:58:30";258;6898.22;0.0;2;1
266;"2020-06-01 21:05:33";5;8214.34;0.0;1;10
267;"2020-06-01 00:08:34";14;5347.85;0.0;1;9
268;"2020-06-01 10:00:54";170;9838.68;0.0;1;8
269;"2020-06-01 22:28:22";69;1337.49;0.0;2;9
270;"2020-06-01 12:27:11";515;84.28;0.0;1;2
271;"2020-06-01 14:34:26";924;2134.0;0.0;1;5
272;"2020-06-01 11:54:45";636;1401.03;0.0;2;5
273;"2020-06-01 02:53:27";505;4687.39;0.0;2;9
274;"2020-06-01 15:48:55";964;520.17;0.0;1;1
275;"2020-06-01 19:31:36";723;6299.46;6299.46;0;9
276;"2020-06-01 08:05:04";810;7068.5;7068.5;0;4
277;"2020-06-01 07:30:13";407;554.97;0.0;1;3
278;"2020-06-01 23:34:49";322;5528.63;0.0;2;5
279;"2020-06-01 16:41:27";466;2432.39;0.0;1;4
280;"2020-06-01 16:36:07";370;9358.3;0.0;1;6
281;"2020-06-01 16:02:50";965;4544.1;4544.1;0;3
282;"2020-06-01 10:54:41";453;954.35;0.0;2;7
283;"2020-06-01 08:50:28";626;9342.49;9342.49;0;10
284;"2020-06-01 02:08:14";729;154.53;154.53;0;8
285;"2020-06-01 05:18:55";307;8704.86;8704.86;0;8
286;"2020-06-01 03:31:38";735;3060.38;0.0;2;5
287;"2020-06-01 20:47:17";427;6259.6;0.0;1;1
288;"2020-06-01 15:01:28";346;9177.82;0.0;2;5
289;"2020-06-01 06:52:35";177;163.14;163.14;0;6
290;"2020-06-01 02:11:03";458;8843.55;0.0;1;3
291;"2020-06-01 15:07:42";789;5651.4;5651.4;0;2
292;"2020-06-01 07:29:57";565;1363.87;1363.87;0;4
293;"2020-06-01 05:33:31";952;783.2;783.2;0;2
294;"2020-06-01 15:10:49";309;2559.6;0.0;1;3
295;"2020-06-01 03:12:57";792;3424.0;0.0;1;4
296;"2020-06-01 00:46:48";778;4903.14;0.0;2;6
297;"2020-06-01 10:23:48";287;8085.05;0.0;2;10
298;"2020-06-01 10:39:45";181;4160.55;4160.55;0;4
299;"2020-06-01 04:12:54";539;2982.18;2982.18;0;8
300;"2020-06-01 17:47:38";25;9516.86;9516.86;0;9
301;"2020-06-01 09:00:43";590;8195.11;8195.11;0;1
302;"2020-06-01 02:15:55";252;4263.46;4263.46;0;7
303;"2020-06-01 15:58:45";152;7526.41;0.0;1;8
304;"2020-06-01 04:00:29";305;7053.88;0.0;1;4
305;"2020-06-01 14:38:20";294;9352.94;0.0;1;1
306;"2020-06-01 02:19:13";948;8872.63;0.0;1;7
307;"2020-06-01 03:24:47";353;5051.62;0.0;1;2
308;"2020-06-01 15:03:54";989;3690.33;0.0;1;1
309;"2020-06-01 05:02:43";580;9428.05;9428.05;0;9
310;"2020-06-01 17:44:07";877;5368.85;5368.85;0;5
311;"2020-06-01 01:09:04";665;2788.3;0.0;1;5
312;"2020-06-01 00:04:38";617;4898.7;0.0;1;4
313;"2020-06-01 15:31:11";720;3020.57;0.0;2;1
314;"2020-06-01 06:26:44";212;9257.4;9257.4;0;2
315;"2020-06-01 22:03:34";784;2289.07;2289.07;0;4
316;"2020-06-01 02:16:30";216;925.45;925.45;0;7
317;"2020-06-01 20:17:10";638;3025.51;0.0;2;6
318;"2020-06-01 18:23:39";267;8832.87;0.0;1;9
319;"2020-06-01 06:02:49";963;3014.46;0.0;2;1
320;"2020-06-01 04:37:24";938;1775.68;1775.68;0;7
321;"2020-06-01 07:05:39";538;8035.05;0.0;1;9
322;"2020-06-01 06:33:33";114;2271.98;2271.98;0;4
323;"2020-06-01 22:47:53";519;1109.54;1109.54;0;8
324;"2020-06-01 04:06:17";409;6650.99;0.0;2;3
325;"2020-06-01 21:32:11";663;634.59;0.0;2;1
326;"2020-06-01 20:07:24";116;8707.14;0.0;2;6
327;"2020-06-01 22:47:46";644;1088.39;0.0;2;7
328;"2020-06-01 00:31:51";598;3421.2;0.0;1;9
329;"2020-06-01 07:54:28";224;2517.6;0.0;1;7
330;"2020-06-01 11:53:57";110;1561.4;0.0;2;9
331;"2020-06-01 05:00:14";691;1356.15;0.0;1;4
332;"2020-06-01 22:46:13";353;9032.98;9032.98;0;6
333;"2020-06-01 17:09:26";493;400.85;0.0;2;7
334;"2020-06-01 05:20:00";752;8841.89;0.0;1;9
335;"2020-06-01 20:51:02";932;9899.09;0.0;2;4
336;"2020-06-01 19:48:32";926;1768.15;0.0;1;10
337;"2020-06-01 22:27:15";811;1965.84;1965.84;0;5
338;"2020-06-01 07:09:09";133;1192.29;1192.29;0;1
339;"2020-06-01 19:31:32";543;4060.71;4060.71;0;4
340;"2020-06-01 23:42:14";878;961.7;961.7;0;7
341;"2020-06-01 18:15:56";950;3483.82;0.0;2;5
342;"2020-06-01 01:27:43";315;4295.66;0.0;1;3
343;"2020-06-01 18:56:48";123;8097.49;0.0;1;8
344;"2020-06-01 20:50:45";709;9174.4;0.0;1;10
345;"2020-06-01 14:16:55";768;400.97;0.0;1;10
346;"2020-06-01 16:48:42";779;7697.73;7697.73;0;5
347;"2020-06-01 11:51:42";565;4170.68;0.0;1;4
348;"2020-06-01 12:38:07";362;5886.94;0.0;2;2
349;"2020-06-01 21:01:45";540;8966.82;8966.82;0;2
350;"2020-06-01 18:08:49";69;7286.72;0.0;1;5
351;"2020-06-01 10:45:33";434;6581.02;6581.02;0;2
352;"2020-06-01 05:29:45";436;542.59;0.0;2;4
353;"2020-06-01 19:14:26";605;983.44;0.0;1;9
354;"2020-06-01 18:23:59";999;3519.09;0.0;2;5
355;"2020-06-01 09:55:09";203;5391.0;5391.0;0;2
356;"2020-06-01 05:47:39";534;6212.44;6212.44;0;2
357;"2020-06-01 19:46:40";159;4934.22;4934.22;0;6
358;"2020-06-01 13:14:36";847;2021.97;0.0;2;7
359;"2020-06-01 18:50:45";855;4104.84;0.0;1;3
360;"2020-06-01 18:49:12";577;3292.01;3292.01;0;10
361;"2020-06-01 00:52:15";25;5120.34;0.0;1;8
362;"2020-06-01 22:19:40";787;7431.06;0.0;2;1
363;"2020-06-01 14:54:56";255;6789.21;0.0;2;8
364;"2020-06-01 09:47:27";282;5460.53;0.0;2;2
365;"2020-06-01 02:13:06";171;5989.85;5989.85;0;7
366;"2020-06-01 23:24:12";605;5239.43;5239.43;0;1
367;"2020-06-01 23:18:45";618;2917.98;2917.98;0;6
368;"2020-06-01 11:44:18";119;7643.64;0.0;1;6
369;"2020-06-01 02:03:19";513;1588.06;1588.06;0;9
370;"2020-06-01 12:49:20";344;35.5;0.0;2;9
371;"2020-06-01 22:18:57";63;3312.36;3312.36;0;6
372;"2020-06-01 18:52:18";227;7917.79;0.0;1;10
373;"2020-06-01 10:08:30";212;9989.88;0.0;1;5
374;"2020-06-01 20:34:24";61;1800.07;0.0;1;8
375;"2020-06-01 12:19:45";884;7823.08;0.0;2;4
376;"2020-06-01 04:17:54";600;2179.21;0.0;1;8
377;"2020-06-01 21:52:23";200;9693.75;0.0;2;4
378;"2020-06-01 20:02:23";201;4910.32;0.0;2;5
379;"2020-06-01 23:17:05";608;4864.08;0.0;2;3
380;"2020-06-01 01:56:59";778;1972.73;1972.73;0;7
381;"2020-06-01 10:45:30";86;9263.54;0.0;1;3
382;"2020-06-01 05:34:51";426;7165.1;0.0;2;8
383;"2020-06-01 02:31:45";279;4557.88;0.0;2;6
384;"2020-06-01 12:16:48";874;2135.28;0.0;1;9
385;"2020-06-01 10:51:04";877;2998.75;2998.75;0;7
386;"2020-06-01 07:52:52";788;8499.1;0.0;2;7
387;"2020-06-01 01:36:45";623;1090.2;0.0;1;5
388;"2020-06-01 10:09:12";413;5856.48;0.0;1;7
389;"2020-06-01 13:05:44";106;4095.27;4095.27;0;7
390;"2020-06-01 04:49:40";189;1094.52;0.0;2;9
391;"2020-06-01 08:17:37";853;5897.22;0.0;1;4
392;"2020-06-01 16:42:54";840;393.18;393.18;0;3
393;"2020-06-01 22:35:30";3;2627.75;2627.75;0;2
394;"2020-06-01 19:15:51";937;4327.58;0.0;1;3
395;"2020-06-01 10:21:05";822;1521.57;0.0;2;7
396;"2020-06-01 07:21:03";917;6997.3;6997.3;0;2
397;"2020-06-01 16:21:00";241;8741.65;0.0;2;3
398;"2020-06-01 18:11:08";947;9402.94;9402.94;0;9
399;"2020-06-01 14:23:36";114;6373.61;6373.61;0;7
400;"2020-06-01 21:30:23";375;3625.91;3625.91;0;5
401;"2020-06-01 16:10:21";584;1686.83;0.0;2;8
402;"2020-06-01 22:12:36";792;9632.82;9632.82;0;5
403;"2020-06-01 12:00:02";368;3222.23;3222.23;0;6
404;"2020-06-01 06:35:06";311;8699.98;0.0;2;8
405;"2020-06-01 08:21:09";431;2756.49;2756.49;0;3
406;"2020-06-01 14:34:19";277;3108.59;0.0;1;4
407;"2020-06-01 04:39:25";708;9015.2;0.0;1;4
408;"2020-06-01 12:26:11";691;8562.73;8562.73;0;7
409;"2020-06-01 02:44:17";762;4814.05;4814.05;0;10
410;"2020-06-01 21:38:57";628;4991.01;4991.01;0;7
411;"2020-06-01 14:27:11";680;591.58;0.0;1;10
412;"2020-06-01 19:40:18";207;360.97;0.0;2;5
413;"2020-06-01 09:18:32";428;2897.68;0.0;1;9
414;"2020-06-01 15:17:43";611;6811.46;0.0;1;2
415;"2020-06-01 19:24:07";376;9999.29;0.0;1;4
416;"2020-06-01 01:58:23";371;5832.54;5832.54;0;6
417;"2020-06-01 11:18:33";995;9385.83;0.0;1;4
418;"2020-06-01 12:07:33";39;29.92;0.0;2;5
419;"2020-06-01 18:39:10";696;4468.93;4468.93;0;8
420;"2020-06-01 15:28:14";327;9930.2;0.0;2;4
421;"2020-06-01 10:49:27";521;3389.08;0.0;2;7
422;"2020-06-01 03:23:33";123;636.49;0.0;1;9
423;"2020-06-01 21:48:24";795;9619.97;9619.97;0;8
424;"2020-06-01 10:41:04";300;1346.97;0.0;2;4
425;"2020-06-01 03:30:00";672;7402.73;7402.73;0;4
426;"2020-06-01 08:33:56";8;811.84;0.0;2;3
427;"2020-06-01 09:39:35";687;188.82;0.0;1;2
428;"2020-06-01 10:37:41";906;9830.6;9830.6;0;8
429;"2020-06-01 17:34:38";506;4810.98;0.0;2;6
430;"2020-06-01 06:34:50";590;2577.79;0.0;1;3
431;"2020-06-01 15:52:36";905;468.23;0.0;1;6
432;"2020-06-01 15:48:33";740;7683.97;0.0;2;8
433;"2020-06-01 20:07:36";23;9577.97;9577.97;0;6
434;"2020-06-01 06:24:11";319;6973.02;0.0;2;6
435;"2020-06-01 06:58:22";751;6735.6;6735.6;0;8
436;"2020-06-01 05:15:31";743;46.15;0.0;2;4
437;"2020-06-01 14:19:50";256;4392.49;0.0;2;3
438;"2020-06-01 14:00:18";233;579.71;579.71;0;5
439;"2020-06-01 12:22:03";342;6223.13;0.0;2;10
440;"2020-06-01 13:07:39";767;433.07;0.0;1;3
441;"2020-06-01 03:27:47";194;5652.09;0.0;2;8
442;"2020-06-01 04:15:59";809;9205.47;9205.47;0;3
443;"2020-06-01 13:12:34";83;1645.67;0.0;1;7
444;"2020-06-01 10:52:36";591;4589.46;0.0;1;1
445;"2020-06-01 23:48:35";262;2979.42;2979.42;0;6
